gene_symbol	term_id	term_name	source	evidence
CDK14	GO:1901987	regulation of cell cycle phase transition	MyGene.info GO BP	IBA
CAMK2B	GO:0006468	protein phosphorylation	MyGene.info GO BP	TAS
CAMK2B	GO:0007165	signal transduction	MyGene.info GO BP	TAS
CAMK2B	GO:0010976	positive regulation of neuron projection development	MyGene.info GO BP	ISS
CAMK2B	GO:0014733	regulation of skeletal muscle adaptation	MyGene.info GO BP	TAS
CAMK2B	GO:0046777	protein autophosphorylation	MyGene.info GO BP	IDA
CAMK2B	GO:0048168	regulation of neuronal synaptic plasticity	MyGene.info GO BP	IBA
CAMK2B	GO:0048169	regulation of long-term neuronal synaptic plasticity	MyGene.info GO BP	TAS
CAMK2B	GO:0051823	regulation of synapse structural plasticity	MyGene.info GO BP	TAS
CAMK2B	GO:0051924	regulation of calcium ion transport	MyGene.info GO BP	TAS
CAMK2B	GO:0060291	long-term synaptic potentiation	MyGene.info GO BP	IEA
CAMK2B	GO:0060998	regulation of dendritic spine development	MyGene.info GO BP	TAS
CAMK2B	GO:0061003	positive regulation of dendritic spine morphogenesis	MyGene.info GO BP	ISS
CAMK2B	GO:0090129	positive regulation of synapse maturation	MyGene.info GO BP	ISS
CAMK2B	GO:1903076	regulation of protein localization to plasma membrane	MyGene.info GO BP	IBA
CAMK2B	GO:2001222	regulation of neuron migration	MyGene.info GO BP	IMP
PRKCZ	GO:0006468	protein phosphorylation	MyGene.info GO BP	IDA
PRKCZ	GO:0007165	signal transduction	MyGene.info GO BP	TAS
PRKCZ	GO:0030010	establishment of cell polarity	MyGene.info GO BP	IBA
PRKCZ	GO:0031333	negative regulation of protein-containing complex assembly	MyGene.info GO BP	IMP
PRKCZ	GO:0032733	positive regulation of interleukin-10 production	MyGene.info GO BP	IEA
PRKCZ	GO:0032736	positive regulation of interleukin-13 production	MyGene.info GO BP	IEA
PRKCZ	GO:0032753	positive regulation of interleukin-4 production	MyGene.info GO BP	IEA
PRKCZ	GO:0032754	positive regulation of interleukin-5 production	MyGene.info GO BP	IEA
PRKCZ	GO:0032869	cellular response to insulin stimulus	MyGene.info GO BP	IBA
PRKCZ	GO:0035556	intracellular signal transduction	MyGene.info GO BP	IBA
PRKCZ	GO:0043066	negative regulation of apoptotic process	MyGene.info GO BP	IEA
PRKCZ	GO:0045630	positive regulation of T-helper 2 cell differentiation	MyGene.info GO BP	IEA
PRKCZ	GO:0046627	negative regulation of insulin receptor signaling pathway	MyGene.info GO BP	IMP
PRKCZ	GO:0046628	positive regulation of insulin receptor signaling pathway	MyGene.info GO BP	ISS
PRKCZ	GO:0060291	long-term synaptic potentiation	MyGene.info GO BP	ISS
PRKCZ	GO:0070374	positive regulation of ERK1 and ERK2 cascade	MyGene.info GO BP	IMP
PRKCZ	GO:0072659	protein localization to plasma membrane	MyGene.info GO BP	IBA
PRKCZ	GO:2000463	positive regulation of excitatory postsynaptic potential	MyGene.info GO BP	ISS
PRKCZ	GO:2000553	positive regulation of T-helper 2 cell cytokine production	MyGene.info GO BP	IEA
CAMK2A	GO:0000082	G1/S transition of mitotic cell cycle	MyGene.info GO BP	ISS
CAMK2A	GO:0002931	response to ischemia	MyGene.info GO BP	ISS
CAMK2A	GO:0006816	calcium ion transport	MyGene.info GO BP	ISS
CAMK2A	GO:0010666	positive regulation of cardiac muscle cell apoptotic process	MyGene.info GO BP	ISS
CAMK2A	GO:0035458	cellular response to interferon-beta	MyGene.info GO BP	IDA
CAMK2A	GO:0038166	angiotensin-activated signaling pathway	MyGene.info GO BP	IDA
CAMK2A	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	MyGene.info GO BP	IMP
CAMK2A	GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	MyGene.info GO BP	IDA
CAMK2A	GO:0046928	regulation of neurotransmitter secretion	MyGene.info GO BP	ISS
CAMK2A	GO:0048168	regulation of neuronal synaptic plasticity	MyGene.info GO BP	IBA
CAMK2A	GO:0051928	positive regulation of calcium ion transport	MyGene.info GO BP	ISS
CAMK2A	GO:0060291	long-term synaptic potentiation	MyGene.info GO BP	IEA
CAMK2A	GO:0060996	dendritic spine development	MyGene.info GO BP	IMP
CAMK2A	GO:0071346	cellular response to type II interferon	MyGene.info GO BP	IDA
CAMK2A	GO:0099148	regulation of synaptic vesicle docking	MyGene.info GO BP	IEA
CAMK2A	GO:0110076	negative regulation of ferroptosis	MyGene.info GO BP	IDA
CAMK2A	GO:1902108	regulation of mitochondrial membrane permeability involved in apoptotic process	MyGene.info GO BP	ISS
CAMK2A	GO:1903076	regulation of protein localization to plasma membrane	MyGene.info GO BP	IBA
CAMK2A	GO:2000124	regulation of endocannabinoid signaling pathway	MyGene.info GO BP	IEA
CAMK2A	GO:2001222	regulation of neuron migration	MyGene.info GO BP	IMP
