core_id	node_type	display_label	source	context	expression_tpm	expression_supported	mapping_status
24529	protein_coding	RSF1	GTEx	Adipose_Visceral_Omentum	8.91987	TRUE	mapped
24529	protein_coding	RSF1	GTEx	Liver	2.30016	TRUE	mapped
24529	protein_coding	RSF1	GTEx	Muscle_Skeletal	4.4698	TRUE	mapped
24529	protein_coding	RSF1	GTEx	Whole_Blood	2.35733	TRUE	mapped
31469	protein_coding	TPPP	ENCODE	A549		FALSE	missing
31469	protein_coding	TPPP	ENCODE	GM12878		FALSE	missing
31469	protein_coding	TPPP	ENCODE	H1-hESC		FALSE	missing
31469	protein_coding	TPPP	ENCODE	HepG2		FALSE	missing
31469	protein_coding	TPPP	ENCODE	HMEC		FALSE	missing
31469	protein_coding	TPPP	ENCODE	K562		FALSE	missing
31469	protein_coding	TPPP	GTEx	Adipose_Subcutaneous	5.40081	TRUE	mapped
31469	protein_coding	TPPP	GTEx	Adipose_Visceral_Omentum	5.58909	TRUE	mapped
31469	protein_coding	TPPP	GTEx	Liver	2.04564	TRUE	mapped
31469	protein_coding	TPPP	GTEx	Muscle_Skeletal	6.35165	TRUE	mapped
31469	protein_coding	TPPP	GTEx	Whole_Blood	0.308172	FALSE	mapped
