species_id	species_code	species_name	binding_affinity
1	human	人类	212.9900
1	human	人类	180.0000
1	human	人类	187.0000
1	human	人类	177.0100
1	human	人类	186.9900
1	human	人类	224.0100
1	human	人类	218.0000
1	human	人类	225.0000
1	human	人类	176.0000
1	human	人类	176.0000
1	human	人类	182.9900
1	human	人类	217.0100
1	human	人类	216.0100
1	human	人类	183.0100
1	human	人类	206.0000
1	human	人类	177.0000
1	human	人类	220.0100
1	human	人类	201.0100
1	human	人类	198.0200
1	human	人类	175.0000
1	human	人类	198.0200
1	human	人类	175.0000
1	human	人类	174.9900
1	human	人类	174.9900
1	human	人类	174.9900
1	human	人类	199.0100
1	human	人类	205.0000
1	human	人类	175.0100
1	human	人类	201.0100
1	human	人类	201.0100
1	human	人类	180.0000
1	human	人类	195.0000
1	human	人类	247.0000
1	human	人类	214.0100
1	human	人类	182.0000
1	human	人类	174.0000
1	human	人类	176.0000
1	human	人类	173.9900
1	human	人类	173.9900
1	human	人类	184.0100
1	human	人类	208.0000
1	human	人类	178.0100
1	human	人类	215.0000
1	human	人类	241.0100
1	human	人类	210.9900
1	human	人类	178.0100
1	human	人类	203.0100
1	human	人类	196.0100
1	human	人类	205.0000
1	human	人类	207.0100
1	human	人类	173.0100
1	human	人类	173.0100
1	human	人类	173.0100
1	human	人类	173.0000
1	human	人类	173.0000
1	human	人类	173.0000
1	human	人类	176.0000
1	human	人类	217.0000
1	human	人类	181.9900
1	human	人类	184.0000
1	human	人类	186.9900
1	human	人类	257.0000
1	human	人类	187.0000
1	human	人类	207.0000
1	human	人类	217.0000
1	human	人类	186.0100
1	human	人类	185.0000
1	human	人类	174.0000
1	human	人类	216.0000
1	human	人类	173.9900
1	human	人类	182.9900
1	human	人类	204.9900
1	human	人类	245.9900
1	human	人类	219.9900
1	human	人类	205.0100
1	human	人类	214.0000
1	human	人类	203.0100
1	human	人类	172.0100
1	human	人类	216.0000
1	human	人类	185.0100
1	human	人类	172.0000
1	human	人类	198.0000
1	human	人类	171.9900
1	human	人类	171.9900
1	human	人类	171.9900
1	human	人类	171.9900
1	human	人类	206.0100
1	human	人类	224.0000
1	human	人类	229.9900
1	human	人类	198.0100
1	human	人类	178.0000
1	human	人类	324.0000
1	human	人类	187.0100
1	human	人类	219.0100
1	human	人类	215.9900
1	human	人类	218.0200
1	human	人类	182.0000
1	human	人类	212.0100
1	human	人类	257.0100
1	human	人类	210.0100
1	human	人类	226.0100
1	human	人类	239.0100
1	human	人类	185.9900
1	human	人类	213.0100
1	human	人类	200.9900
1	human	人类	208.0100
1	human	人类	171.0000
1	human	人类	171.0000
1	human	人类	182.9900
1	human	人类	349.9900
1	human	人类	179.0000
1	human	人类	215.0000
1	human	人类	180.0100
1	human	人类	197.0100
1	human	人类	178.0000
1	human	人类	224.9900
1	human	人类	204.0100
1	human	人类	207.0100
1	human	人类	191.0100
1	human	人类	196.0000
1	human	人类	188.0000
1	human	人类	189.0100
1	human	人类	224.0200
1	human	人类	170.0100
1	human	人类	170.0100
1	human	人类	170.0000
1	human	人类	170.0000
1	human	人类	169.9900
1	human	人类	169.9900
1	human	人类	169.9900
1	human	人类	257.0200
1	human	人类	213.0100
1	human	人类	200.0000
1	human	人类	177.0000
1	human	人类	220.0100
1	human	人类	188.0100
1	human	人类	219.0100
1	human	人类	216.9900
1	human	人类	213.0000
1	human	人类	211.9900
1	human	人类	246.0100
1	human	人类	192.0100
1	human	人类	196.9800
1	human	人类	172.0000
1	human	人类	174.9900
1	human	人类	214.9800
1	human	人类	216.0100
1	human	人类	206.9900
1	human	人类	200.0000
1	human	人类	223.0100
1	human	人类	224.0100
1	human	人类	252.0000
1	human	人类	169.0100
1	human	人类	169.0100
1	human	人类	169.0100
1	human	人类	169.0100
1	human	人类	169.0000
1	human	人类	182.0100
1	human	人类	202.9900
1	human	人类	256.0100
1	human	人类	173.0000
1	human	人类	212.9900
1	human	人类	183.0000
1	human	人类	183.0000
1	human	人类	200.0100
1	human	人类	188.0000
1	human	人类	178.9900
1	human	人类	210.0000
1	human	人类	201.9900
1	human	人类	176.0100
1	human	人类	219.0100
1	human	人类	217.9900
1	human	人类	233.0200
1	human	人类	224.0000
1	human	人类	220.9900
1	human	人类	201.9900
1	human	人类	197.0000
1	human	人类	170.0000
1	human	人类	185.0100
1	human	人类	204.9900
1	human	人类	211.9900
1	human	人类	209.9800
1	human	人类	218.9900
1	human	人类	208.9900
1	human	人类	203.0100
1	human	人类	192.0100
1	human	人类	193.9900
1	human	人类	200.0000
1	human	人类	188.0100
1	human	人类	237.9900
1	human	人类	187.0100
1	human	人类	178.0000
1	human	人类	214.0000
1	human	人类	207.0100
1	human	人类	192.9900
1	human	人类	197.0100
1	human	人类	175.0100
1	human	人类	210.0000
1	human	人类	196.9900
1	human	人类	228.9800
1	human	人类	186.0100
1	human	人类	191.9900
1	human	人类	178.0000
1	human	人类	208.0000
1	human	人类	203.0100
1	human	人类	198.0100
1	human	人类	202.9900
1	human	人类	241.9900
1	human	人类	197.0000
1	human	人类	204.0000
1	human	人类	211.9800
1	human	人类	202.9900
1	human	人类	222.0000
1	human	人类	167.0000
1	human	人类	167.0000
1	human	人类	167.0000
1	human	人类	167.0000
1	human	人类	166.9900
1	human	人类	220.9900
1	human	人类	227.0200
1	human	人类	203.0100
1	human	人类	203.0000
1	human	人类	199.9900
1	human	人类	206.0100
1	human	人类	189.0100
1	human	人类	261.0100
1	human	人类	190.9900
1	human	人类	171.0100
1	human	人类	183.9900
1	human	人类	226.0000
1	human	人类	208.0100
1	human	人类	171.0000
1	human	人类	232.9900
1	human	人类	194.0100
1	human	人类	198.9900
1	human	人类	252.0000
1	human	人类	186.0100
1	human	人类	216.0100
1	human	人类	207.0000
1	human	人类	174.0000
1	human	人类	190.0000
1	human	人类	173.0100
1	human	人类	167.0100
1	human	人类	166.0000
1	human	人类	170.0000
1	human	人类	165.9900
1	human	人类	165.9900
1	human	人类	165.9900
1	human	人类	189.0000
1	human	人类	229.0100
1	human	人类	209.0100
1	human	人类	190.0100
1	human	人类	231.0000
1	human	人类	180.9900
1	human	人类	252.0100
1	human	人类	225.9900
1	human	人类	198.0000
1	human	人类	192.0000
1	human	人类	215.0100
1	human	人类	211.0100
1	human	人类	201.0000
1	human	人类	190.0000
1	human	人类	213.0000
1	human	人类	195.0100
1	human	人类	206.0100
1	human	人类	222.0100
1	human	人类	205.0100
1	human	人类	214.0000
1	human	人类	209.9800
1	human	人类	231.0100
1	human	人类	195.0200
1	human	人类	165.0100
1	human	人类	165.0000
1	human	人类	165.0000
1	human	人类	168.9900
1	human	人类	194.0000
1	human	人类	165.0000
1	human	人类	168.9900
1	human	人类	213.9900
1	human	人类	213.0100
1	human	人类	218.9900
1	human	人类	240.9900
1	human	人类	349.0200
1	human	人类	210.0100
1	human	人类	187.0100
1	human	人类	180.0100
1	human	人类	200.9900
1	human	人类	218.0100
1	human	人类	192.0100
1	human	人类	198.0000
1	human	人类	199.0000
1	human	人类	199.0000
1	human	人类	175.9900
1	human	人类	181.0100
1	human	人类	214.0100
1	human	人类	194.0100
1	human	人类	186.9900
1	human	人类	203.0000
1	human	人类	171.0000
1	human	人类	203.0000
1	human	人类	233.0200
1	human	人类	208.0100
1	human	人类	182.9900
1	human	人类	182.9900
1	human	人类	200.0100
1	human	人类	194.9900
1	human	人类	198.0100
1	human	人类	213.9900
1	human	人类	206.9900
1	human	人类	237.0000
1	human	人类	164.0100
1	human	人类	179.0100
1	human	人类	181.0100
1	human	人类	243.0000
1	human	人类	163.9900
1	human	人类	163.9900
1	human	人类	196.9900
1	human	人类	222.9900
1	human	人类	201.0100
1	human	人类	209.9900
1	human	人类	182.9900
1	human	人类	187.0100
1	human	人类	184.0000
1	human	人类	199.0000
1	human	人类	233.0200
1	human	人类	229.0000
1	human	人类	179.0100
1	human	人类	203.9900
1	human	人类	201.9900
1	human	人类	174.0000
1	human	人类	182.0000
1	human	人类	218.0000
1	human	人类	197.0000
1	human	人类	204.0100
1	human	人类	194.9900
1	human	人类	167.0100
1	human	人类	244.0000
1	human	人类	198.9900
1	human	人类	208.9900
1	human	人类	191.0100
1	human	人类	195.9900
1	human	人类	230.9900
1	human	人类	179.0100
1	human	人类	205.0000
1	human	人类	201.0200
1	human	人类	196.0000
1	human	人类	206.9900
1	human	人类	200.0100
1	human	人类	163.0100
1	human	人类	163.0100
1	human	人类	163.0100
1	human	人类	163.0100
1	human	人类	246.0200
1	human	人类	189.0100
1	human	人类	163.9900
1	human	人类	162.9900
1	human	人类	192.0100
1	human	人类	212.0000
1	human	人类	178.0000
1	human	人类	220.0100
1	human	人类	178.0000
1	human	人类	165.0000
1	human	人类	167.0100
1	human	人类	218.9900
1	human	人类	183.0100
1	human	人类	214.0000
1	human	人类	193.9900
1	human	人类	217.9900
1	human	人类	208.0000
1	human	人类	201.0000
1	human	人类	221.0000
1	human	人类	196.9800
1	human	人类	211.9800
1	human	人类	189.0000
1	human	人类	245.0100
